settlement_id,name,admin1,admin2,population,num_buildings,distance_to_grid_km,has_health,has_education,has_nightlight,demand_tier,final_connections,final_demand_mwh,grid_lcoe,minigrid_lcoe,shs_lcoe,grid_cost_per_conn,minigrid_cost_per_conn,shs_cost_per_conn,least_cost_technology,least_cost_lcoe,priority_score
613,Tori-Bossito,Atlantique,Tori-Bossito,44,17,10.25,0,0,0,Tier2,12.8,1.97,17826.14,,1380.17,5824.54,,400.0,SHS,1380.17,0.1364
11194,Dérassi,Borgou,Kalale,160,62,53.34,0,0,0,Tier2,46.4,7.17,,2293.9,1833.82,,587.51,400.0,SHS,1833.82,0.0764
7416,Tchaourou,Borgou,Tchaourou,49,19,17.18,0,0,0,Tier1,14.2,0.66,87592.2,,2007.83,8661.67,,150.0,SHS,2007.83,0.1262
12802,Kalalé,Borgou,Kalale,54,21,84.84,0,0,0,Tier1,15.7,0.73,,5798.61,3839.18,,456.51,150.0,SHS,3839.18,0.0249
1166,Ouadjito,Atlantique,Kpomasse,52,20,11.44,0,0,0,Tier2,15.1,2.33,16862.96,2130.87,1387.94,5508.16,600.89,400.0,SHS,1387.94,0.1349
12176,Kouandé,Atakora,Kouande,624,242,50.91,0,0,0,Tier3,181.0,139.9,,1084.43,1159.48,,1337.53,1500.0,Mini-grid,1084.43,0.0986
8585,Location #5986,Borgou,N'dali,155,60,5.64,0,0,0,Tier2,45.0,6.95,2860.87,1881.62,1137.9,1078.11,627.67,400.0,SHS,1137.9,0.1477
6567,Gbéré,Collines,Save,379,147,10.85,0,0,0,Tier2,109.9,16.99,2805.88,2130.87,1384.06,890.75,600.89,400.0,SHS,1384.06,0.1489
8772,Gninsy,Borgou,Perere,36,14,19.57,0,0,0,Tier1,10.4,0.49,134603.86,,2059.76,13315.48,,150.0,SHS,2059.76,0.1221
1013,Lokossa,Mono,Lokossa,116,45,5.18,0,0,0,Tier2,33.6,5.2,3372.48,1881.62,1135.35,1277.47,627.67,400.0,SHS,1135.35,0.1469
5286,Banamè,Zou,Cove,307,119,16.57,0,0,0,Tier2,89.0,13.77,4669.3,2130.87,1421.65,1502.83,600.89,400.0,SHS,1421.65,0.1374
14055,Ferme Wawarou,Atakora,Kerou,46,18,60.92,0,0,0,Tier1,13.3,0.62,,,3264.58,,,150.0,SHS,3264.58,0.0605
8759,Ouaké,Donga,Ouake,95,37,7.52,0,0,0,Tier2,27.6,4.26,5512.03,1881.62,1148.32,2111.19,627.67,400.0,SHS,1148.32,0.1425
9772,GORÉ,Borgou,Nikki,1126,437,37.58,0,0,0,Tier3,326.6,252.44,769.15,1084.43,1140.18,1005.39,1337.53,1500.0,Grid,769.15,0.1848
174,Adounko Daho,Atlantique,Abomey-Calavi,2385,758,7.24,1,1,0,Tier3,691.8,534.7,234.38,957.04,838.03,273.28,1538.34,1500.0,Grid,234.38,0.6377
10948,Location #13877,Atakora,Natitingou,52,20,4.67,0,0,0,Tier3,15.1,11.66,1308.01,957.04,835.18,2365.08,1538.34,1500.0,SHS,835.18,0.178
1807,Location #52,Ouémé,Adjohoun,22446,7947,3.19,0,0,1,Tier5,6510.7,30193.35,111.52,,,203.44,,,Grid,111.52,0.7229
1821,Allada,Atlantique,Allada,946,367,0.03,0,0,1,Tier3,274.4,212.09,180.27,889.21,693.85,200.8,1705.69,1500.0,Grid,180.27,0.3517
7858,Ouèssè,Collines,Ouesse,2201,854,1.08,0,1,0,Tier3,638.4,493.45,184.99,889.21,694.82,211.8,1705.69,1500.0,Grid,184.99,0.4994
9953,Dogbo,Kouffo,Lalo,171,47,13.59,0,0,0,Tier2,49.6,7.67,6541.32,2130.87,1402.06,2117.75,600.89,400.0,SHS,1402.06,0.1365
1400,Tori-Bossito,Atlantique,Tori-Bossito,54,21,5.25,0,0,0,Tier2,15.7,2.42,6628.55,1881.62,1135.74,2546.26,627.67,400.0,SHS,1135.74,0.1443
12424,Natitingou,Atakora,Natitingou,62,24,5.41,0,0,0,Tier2,18.0,2.78,6009.9,1881.62,1136.62,2305.19,627.67,400.0,SHS,1136.62,0.1444
319,Location #14047,Atlantique,Kpomasse,52,20,18.6,0,0,0,Tier1,15.1,0.7,89326.73,5309.13,2038.81,8833.38,460.54,150.0,SHS,2038.81,0.1242
16470,Location #11994,Alibori,Banikoara,62,24,18.3,0,0,0,Tier1,18.0,0.84,74078.71,5309.13,2032.26,7323.93,460.54,150.0,SHS,2032.26,0.125
8611,Ouaké,Donga,Ouake,168,65,9.69,0,0,0,Tier2,48.7,7.53,4179.61,1881.62,1160.31,1591.98,627.67,400.0,SHS,1160.31,0.1422
5080,Location #9225,Zou,Djidja,88,34,6.32,0,0,0,Tier2,25.5,3.95,5057.21,1881.62,1141.68,1933.96,627.67,400.0,SHS,1141.68,0.144
16151,Sompérekou,Alibori,Banikoara,57,22,3.38,0,0,0,Tier3,16.5,12.78,930.41,957.04,833.75,1629.38,1538.34,1500.0,SHS,833.75,0.1805
2150,Sé,Atlantique,Allada,121,47,12.39,0,0,0,Tier2,35.1,5.43,8224.65,2130.87,1394.17,2670.68,600.89,400.0,SHS,1394.17,0.1363
2246,Awonou,Ouémé,Adjohoun,126,49,4.54,0,0,0,Tier3,36.5,28.25,643.33,957.04,835.04,1070.05,1538.34,1500.0,Grid,643.33,0.2196
4364,Ouinhi,Zou,Ouinhi,103,40,7.19,0,0,0,Tier2,29.9,4.62,4932.53,1881.62,1146.49,1885.37,627.67,400.0,SHS,1146.49,0.1433
952,Lobogo,Mono,Bopa,77,30,3.85,0,0,0,Tier3,22.3,17.26,815.35,957.04,834.27,1405.2,1538.34,1500.0,Grid,815.35,0.1842
3473,Igbo Ougouchi,Ouémé,Bonou,70,27,15.7,0,0,0,Tier1,20.3,0.95,56789.81,5309.13,1975.57,5612.46,460.54,150.0,SHS,1975.57,0.1293
12167,Location #7249,Atakora,Toucountouna,121,47,0.35,0,0,0,Tier3,35.1,27.13,209.61,889.21,694.14,269.2,1705.69,1500.0,Grid,209.61,0.3124
